Date,BPI
2016-01-01,434.463
2016-01-02,433.586
2016-01-03,430.361
2016-01-04,433.493
2016-01-05,432.253
2016-01-06,429.464
2016-01-07,458.28
2016-01-08,453.37
2016-01-09,449.143
2016-01-10,448.964
2016-01-11,448.385
2016-01-12,432.884
2016-01-13,432.04
2016-01-14,429.729
2016-01-15,358.766
2016-01-16,387.665
2016-01-17,380.208
2016-01-18,385.844
2016-01-19,377.745
2016-01-20,418.742
2016-01-21,409.945
2016-01-22,381.761
2016-01-23,386.191
2016-01-24,402.61
2016-01-25,390.663
2016-01-26,391.43
2016-01-27,394.629
2016-01-28,379.384
2016-01-29,378.2
2016-01-30,376.937
2016-01-31,367.135
2016-02-01,371.248
2016-02-02,372.877
2016-02-03,368.933
2016-02-04,388.612
2016-02-05,385.338
2016-02-06,375.405
2016-02-07,375.284
2016-02-08,371.101
2016-02-09,373.321
2016-02-10,379.96
2016-02-11,377.72
2016-02-12,383.126
2016-02-13,392.182
2016-02-14,406.738
2016-02-15,399.485
2016-02-16,407.361
2016-02-17,415.561
2016-02-18,421.637
2016-02-19,420.334
2016-02-20,436.517
2016-02-21,438.985
2016-02-22,438.072
2016-02-23,419.981
2016-02-24,424.362
2016-02-25,423.517
2016-02-26,432.064
2016-02-27,432.138
2016-02-28,432.64
2016-02-29,436.608
2016-03-01,433.637
2016-03-02,421.598
2016-03-03,419.466
2016-03-04,407.982
2016-03-05,397.833
2016-03-06,404.55
2016-03-07,412.982
2016-03-08,411.758
2016-03-09,412.618
2016-03-10,416.16
2016-03-11,419.887
2016-03-12,410.132
2016-03-13,412.291
2016-03-14,415.091
2016-03-15,415.383
2016-03-16,416.253
2016-03-17,418.452
2016-03-18,408.036
2016-03-19,408.52
2016-03-20,410.751
2016-03-21,411.423
2016-03-22,416.926
2016-03-23,417.386
2016-03-24,414.341
2016-03-25,415.687
2016-03-26,416.73
2016-03-27,425.378
2016-03-28,422.756
2016-03-29,415.553
2016-03-30,412.69
2016-03-31,415.161
2016-04-01,417.009
2016-04-02,419.686
2016-04-03,419.385
2016-04-04,419.416
2016-04-05,422.653
2016-04-06,421.7
2016-04-07,421.204
2016-04-08,418.089
2016-04-09,418.419
2016-04-10,421.111
2016-04-11,422.99
2016-04-12,425.99
2016-04-13,424.401
2016-04-14,425.106
2016-04-15,429.98
2016-04-16,430.837
2016-04-17,427.862
2016-04-18,429.054
2016-04-19,436.105
2016-04-20,442.156
2016-04-21,451.102
2016-04-22,447.636
2016-04-23,452.584
2016-04-24,460.327
2016-04-25,462.51
2016-04-26,467.803
2016-04-27,445.012
2016-04-28,449.856
2016-04-29,456.35
2016-04-30,449.333
2016-05-01,453.042
2016-05-02,444.513
2016-05-03,450.274
2016-05-04,446.962
2016-05-05,448.527
2016-05-06,460.374
2016-05-07,459.465
2016-05-08,459.437
2016-05-09,461.491
