Date,BPI
9/8/2016,624.9488
9/9/2016,621.7963
9/10/2016,622.2125
9/11/2016,605.8088
9/12/2016,606.3075
9/13/2016,606.9213
9/14/2016,608.22
9/15/2016,605.21
9/16/2016,606.3338
9/17/2016,605.2938
9/18/2016,608.6988
9/19/2016,608.5275
9/20/2016,599.4738
9/21/2016,595.7988
9/22/2016,595.035
9/23/2016,601.7138
9/24/2016,601.3413
9/25/2016,599.1763
9/26/2016,606.8125
9/27/2016,604.7625
9/28/2016,603.5188
9/29/2016,605.0588
9/30/2016,608.4375
10/1/2016,613.9338
10/2/2016,610.2913
10/3/2016,612.3375
10/4/2016,609.375
10/5/2016,610.885
10/6/2016,610.9
10/7/2016,616.4888
10/8/2016,616.5963
10/9/2016,614.6238
10/10/2016,617.4225
10/11/2016,639.3738
10/12/2016,635.0813
10/13/2016,635.02
10/14/2016,638.3675
10/15/2016,637.3713
10/16/2016,639.8275
10/17/2016,636.92
10/18/2016,635.5088
10/19/2016,628.1538
10/20/2016,628.6225
10/21/2016,630.1538
10/22/2016,652.715
10/23/2016,649.245
10/24/2016,648.3988
10/25/2016,652.895
10/26/2016,674.3575
10/27/2016,686.52
10/28/2016,688.0963
10/29/2016,712.87
10/30/2016,696.3538
10/31/2016,697.3688
11/1/2016,729.2713
11/2/2016,742.465
11/3/2016,687.5075
11/4/2016,702.5375
11/5/2016,704.1638
11/6/2016,712.2363
11/7/2016,704.0188
11/8/2016,709.1525
11/9/2016,721.1913
11/10/2016,713.6675
11/11/2016,716.5563
11/12/2016,703.5463
11/13/2016,702.5038
11/14/2016,706.395
11/15/2016,711.9563
11/16/2016,742.07
11/17/2016,735.4063
11/18/2016,749.6775
11/19/2016,750.6325
11/20/2016,728.6075
11/21/2016,736.7163
11/22/2016,748.225
11/23/2016,741.5963
11/24/2016,736.3988
11/25/2016,738.2775
11/26/2016,732.8238
11/27/2016,728.425
11/28/2016,731.7463
11/29/2016,731.765
11/30/2016,742.0075
12/1/2016,753.255
12/2/2016,771.4075
12/3/2016,764.9725
12/4/2016,766.4638
12/5/2016,750.7088
12/6/2016,758.81
12/7/2016,763.8975
12/8/2016,766.7513
12/9/2016,770.415
12/10/2016,773.2113
12/11/2016,768.6213
12/12/2016,777.9113
12/13/2016,775.25
12/14/2016,776.6363
12/15/2016,775.48
12/16/2016,780.85
12/17/2016,788.5763
12/18/2016,788.5888
12/19/2016,790.1563
12/20/2016,798.785
12/21/2016,833.1025
12/22/2016,858.7363
12/23/2016,916.7875
12/24/2016,894.2025
12/25/2016,894.4825
12/26/2016,902.5538
12/27/2016,931.1138
12/28/2016,978.0088
12/29/2016,969.625
12/30/2016,960.4713
12/31/2016,968.2275
1/1/2017,997.6888
1/2/2017,1018.05
1/3/2017,1030.8175
1/4/2017,1129.87
1/5/2017,1005.815
1/6/2017,895.67
1/7/2017,905.17
1/8/2017,913.5238
1/9/2017,899.35
1/10/2017,904.7925
1/11/2017,775.9813
1/12/2017,802.8288
1/13/2017,826.1213
1/14/2017,818.6388
1/15/2017,822.4225
1/16/2017,830.2638
1/17/2017,904.4538
1/18/2017,884.2513
1/19/2017,898.0213
1/20/2017,891.6238
1/21/2017,920.0113
1/22/2017,925.3313
1/23/2017,912.6875
1/24/2017,885.6475
1/25/2017,894.11
1/26/2017,915.1
1/27/2017,918.5625
1/28/2017,920.28
1/29/2017,914.0438
1/30/2017,920.2413
1/31/2017,967.6675
2/1/2017,987.3463
2/2/2017,1007.795
2/3/2017,1018.1113
2/4/2017,1033.6525
2/5/2017,1013.9938
2/6/2017,1024.6125
2/7/2017,1052.5388
2/8/2017,1054.3438
2/9/2017,988.9475
2/10/2017,993.0788
2/11/2017,1010.0025
2/12/2017,999.5125
2/13/2017,996.8575
2/14/2017,1009.2513
2/15/2017,1009.1163
